# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR21013141_sorted.bam" "SRR21013146_sorted.bam" "SRR21013150_sorted.bam" "SRR21013144_sorted.bam" "SRR21013140_sorted.bam" "SRR21013139_sorted.bam" "SRR21013138_sorted.bam" "SRR21013145_sorted.bam" "SRR21013142_sorted.bam" "SRR21013136_sorted.bam" "SRR21013149_sorted.bam" "SRR21013137_sorted.bam" "SRR21013143_sorted.bam" "SRR21013147_sorted.bam" "SRR21013148_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR21013141_sorted.bam	SRR21013146_sorted.bam	SRR21013150_sorted.bam	SRR21013144_sorted.bam	SRR21013140_sorted.bam	SRR21013139_sorted.bam	SRR21013138_sorted.bam	SRR21013145_sorted.bam	SRR21013142_sorted.bam	SRR21013136_sorted.bam	SRR21013149_sorted.bam	SRR21013137_sorted.bam	SRR21013143_sorted.bam	SRR21013147_sorted.bam	SRR21013148_sorted.bam
gene-b3427	U00096.3	3563724	3564005	-	282	1	9	7	122	6	2	2	9	6	0	8	0	13	15	4
gene-b3428	U00096.3	3564134	3566581	-	2448	579	10319	5819	3566	1555	631	425	5450	2132	138	8025	642	2452	11030	2967
gene-b3429	U00096.3	3566600	3568033	-	1434	494	7876	4799	3041	1240	644	356	4380	1920	135	7012	516	1951	9466	2321
gene-b3430	U00096.3	3568033	3569328	-	1296	419	7190	4648	2545	1136	541	330	4631	1717	121	7218	471	1704	9713	2500
gene-b3431	U00096.3	3569346	3571319	-	1974	342	5381	3942	2355	879	466	260	3868	1340	123	5807	397	1236	7797	2426
gene-b3432	U00096.3	3571316	3573502	-	2187	611	9480	9205	3808	1495	847	480	6167	1996	230	9340	719	1949	14240	4333
gene-b4788	U00096.3	3573660	3573701	-	42	141	864	655	285	304	167	38	526	337	32	977	81	323	1226	391
gene-b4789	U00096.3	3573679	3573708	-	30	102	681	564	281	191	103	24	430	233	21	777	60	208	1051	332
gene-b3433	U00096.3	3573775	3574878	-	1104	2861	20179	22159	5511	6726	4779	1400	12862	8823	706	26181	1981	8244	27209	10117
gene-b3434	U00096.3	3575071	3575664	+	594	63	644	590	577	124	70	40	459	198	20	780	54	201	885	251
gene-b4476	U00096.3	3575721	3577061	-	1341	45	561	552	1669	132	65	36	374	188	15	583	52	166	783	255
gene-b3437	U00096.3	3577065	3577592	-	528	8	303	255	462	65	29	15	186	58	5	333	15	62	414	139
gene-b3438	U00096.3	3577731	3578726	-	996	244	4750	3714	1403	759	390	186	2537	846	61	3608	284	823	5458	1483
gene-b3439	U00096.3	3578950	3579645	-	696	203	2736	2124	1126	555	340	147	1530	670	41	2654	221	750	3422	1060
gene-b3440	U00096.3	3579768	3580805	-	1038	547	10085	8802	2076	1640	924	462	6423	1943	215	11846	803	1796	14324	4670
gene-b4451	U00096.3	3580922	3581016	-	95	2	30	24	144	3	5	0	14	10	0	15	3	9	31	7
gene-b3441	U00096.3	3581138	3581626	+	489	19	404	502	449	61	34	6	283	48	9	453	29	47	705	235
gene-b3442	U00096.3	3581863	3583041	+	1179	4	17	12	497	7	2	0	16	5	0	18	2	8	30	9
gene-b3444	U00096.3	3583483	3583758	+	276	249	3375	3022	1655	589	438	98	2137	1016	67	2565	183	931	4874	1381
gene-b3445	U00096.3	3583677	3584180	+	504	350	4533	3973	2239	818	569	160	2899	1344	94	3409	274	1260	6626	1674
gene-b4612	U00096.3	3584404	3584559	+	156	1	4	2	89	3	2	0	5	3	1	4	0	1	9	1
gene-b3446	U00096.3	3584759	3585043	+	285	0	27	13	471	6	1	0	16	8	0	19	0	7	25	6
gene-b3447	U00096.3	3585081	3586823	-	1743	22	272	290	1529	69	30	20	205	75	8	293	22	89	433	130
gene-b3448	U00096.3	3586943	3587383	+	441	30	599	734	503	93	52	27	412	111	9	858	43	120	904	314
gene-b3449	U00096.3	3587370	3588113	-	744	72	1211	1319	1042	243	108	84	728	267	33	1503	103	273	1667	540
gene-b3450	U00096.3	3588110	3589180	-	1071	41	588	893	1973	120	54	39	422	149	14	910	71	166	878	381
gene-b3451	U00096.3	3589182	3590027	-	846	4	61	101	886	11	4	1	39	16	1	131	5	15	110	48
gene-b3452	U00096.3	3590024	3590911	-	888	8	60	78	1018	7	4	6	41	9	1	81	5	17	94	36
gene-b3453	U00096.3	3591009	3592325	-	1317	11	158	183	1512	33	23	12	97	48	7	160	24	34	274	69
gene-b3454	U00096.3	3592724	3593437	-	714	10	102	116	581	19	11	3	63	21	3	137	8	26	134	46
gene-b3455	U00096.3	3593439	3594206	-	768	5	85	121	774	17	11	3	62	25	3	125	6	34	127	46
gene-b3456	U00096.3	3594203	3595480	-	1278	7	136	151	1518	22	19	13	90	42	3	141	9	35	166	58
gene-b3457	U00096.3	3595477	3596403	-	927	5	35	43	620	13	3	4	27	12	4	61	5	15	57	28
gene-b3458	U00096.3	3596451	3597560	-	1110	17	136	168	610	49	36	15	100	65	8	153	24	64	215	59
gene-b3459	U00096.3	3597984	3598367	+	384	80	1312	1408	388	195	116	66	847	233	30	1701	103	263	2146	642
gene-b3460	U00096.3	3598555	3599658	-	1104	49	747	580	1431	104	67	39	384	126	13	508	57	142	1085	265
gene-b3461	U00096.3	3599929	3600783	-	855	1271	22300	19761	3353	3726	1741	1256	13947	4272	492	27172	1827	5475	30037	8488
gene-b3462	U00096.3	3601028	3602086	-	1059	197	2504	2914	1409	467	249	151	1866	707	81	3030	237	717	3006	1321
gene-b3463	U00096.3	3602079	3602747	-	669	181	1888	2305	1156	423	244	156	1619	673	104	2599	243	688	2406	972
gene-b3464	U00096.3	3602750	3604243	-	1494	305	3500	3896	2025	784	405	225	2552	1342	124	4503	316	1391	4878	1484
gene-b3465	U00096.3	3604393	3604989	+	597	174	2687	2792	896	531	267	139	1819	821	67	2942	229	821	3738	1168
gene-b3466	U00096.3	3604979	3605248	+	270	63	1200	1107	423	194	91	53	792	276	18	1395	74	324	1572	502
gene-b3467	U00096.3	3605251	3605610	-	360	74	1577	1691	629	180	112	61	1058	246	23	1881	83	250	2183	782
gene-b3468	U00096.3	3605751	3606377	+	627	252	6392	6779	1028	656	340	244	3547	528	82	6484	384	599	9114	2674
gene-b3469	U00096.3	3606451	3608649	+	2199	305	6614	7466	2599	756	447	373	3993	784	137	6689	481	837	10566	3123
gene-b3470	U00096.3	3608751	3608996	-	246	50	759	558	262	137	61	33	457	159	12	659	59	167	982	203
gene-b3471	U00096.3	3609217	3609882	+	666	76	1548	737	758	245	93	52	1044	267	22	993	85	287	2059	402
gene-b3472	U00096.3	3609955	3610512	+	558	939	16192	16766	2317	2798	1666	894	9976	3235	354	22698	1415	3438	21599	8294
gene-b3473	U00096.3	3610516	3611733	-	1218	182	4751	4804	1599	511	330	205	3088	480	79	3738	294	530	7167	1931
gene-b3474	U00096.3	3611865	3612914	+	1050	12	265	250	748	43	25	23	207	32	8	276	17	49	414	129
gene-b3475	U00096.3	3612969	3613556	+	588	126	2795	2428	1315	340	211	138	1844	521	54	2497	210	624	3670	1057
gene-b3476	U00096.3	3613667	3615241	+	1575	668	17555	17682	2449	1816	1101	737	12011	1676	305	29986	1283	1598	21616	9394
gene-b3477	U00096.3	3615241	3616185	+	945	437	12028	10717	2088	1285	930	610	11015	1527	295	14457	1068	1678	12864	5359
gene-b3478	U00096.3	3616182	3617015	+	834	316	9225	6052	2152	1101	720	436	6197	1705	226	6486	852	1756	8103	3485
gene-b3479	U00096.3	3617015	3617779	+	765	339	8351	2883	1692	1014	566	375	4230	1735	183	6164	718	1977	7062	2629
gene-b3480	U00096.3	3617776	3618582	+	807	214	5746	1477	1565	800	369	260	2545	1428	116	4540	494	1672	5166	1413
gene-b3481	U00096.3	3618588	3618989	+	402	190	4770	1678	1153	684	254	193	2201	1136	110	3303	387	1284	4360	1148
gene-b3482	U00096.3	3619192	3623427	+	4236	117	1280	765	5208	307	121	70	691	369	34	1102	136	520	1310	349
gene-b3483	U00096.3	3623399	3623782	+	384	4	69	29	248	17	2	2	28	16	0	33	1	27	57	7
gene-b3484	U00096.3	3624378	3625514	+	1137	13	143	107	1237	38	19	6	79	39	3	118	11	84	169	55
gene-b3485	U00096.3	3625679	3626803	-	1125	28	641	1052	1454	88	63	25	388	104	10	600	49	124	1067	309
gene-b3486	U00096.3	3626803	3629538	-	2736	60	1012	2307	3232	190	83	66	788	191	32	1297	111	198	1843	602
gene-b3487	U00096.3	3629535	3630602	-	1068	90	1527	1853	1719	237	147	67	926	267	28	1972	136	315	2427	696
gene-b4790	U00096.3	3630665	3630778	-	114	70	824	969	209	190	130	33	556	247	15	1173	37	222	1265	348
gene-b3488	U00096.3	3630968	3632590	-	1623	27	154	81	892	81	33	6	97	65	7	149	20	94	222	59
gene-b3491	U00096.3	3634841	3635893	+	1053	20	186	138	672	44	24	13	169	72	3	144	10	82	232	61
gene-b3492	U00096.3	3636208	3637410	-	1203	172	1817	1370	1699	500	250	122	1460	761	63	1951	232	872	2328	808
gene-b3493	U00096.3	3637642	3639141	+	1500	1156	11528	10368	3723	2724	1629	787	9686	4931	379	14623	1199	4782	12691	5471
gene-b3494	U00096.3	3639385	3639720	-	336	38	441	497	364	69	38	25	284	81	16	626	28	87	688	183
gene-b3495	U00096.3	3640111	3640545	+	435	835	22995	32279	1443	2537	1263	814	10543	1272	401	37610	1349	1664	41639	13556
gene-b4791	U00096.3	3640612	3640686	-	75	3	34	15	70	8	0	1	27	4	2	36	0	5	46	16
gene-b4792	U00096.3	3640643	3640696	-	54	3	22	9	54	2	0	1	22	3	0	19	0	3	38	11
gene-b3496	U00096.3	3640862	3642331	+	1470	318	7182	4965	2072	881	472	279	4063	884	91	7953	466	1179	10237	2627
gene-b3497	U00096.3	3642380	3643132	-	753	184	1706	1862	1269	395	274	117	1377	761	47	1893	165	607	2456	1033
gene-b3498	U00096.3	3643140	3645182	-	2043	643	5872	8523	2696	1365	1019	439	4550	2570	217	8384	549	1993	8470	4034
gene-b3499	U00096.3	3645385	3646227	+	843	406	4321	6096	1582	993	496	369	2978	1587	142	5299	567	1804	6833	2201
gene-b3500	U00096.3	3646299	3647651	+	1353	875	9016	11953	3161	2119	1205	697	6155	2921	287	14088	974	3274	14917	4959
gene-b4613	U00096.3	3647705	3647788	-	84	451	2016	2117	699	948	531	362	1426	943	178	2857	450	695	2785	899
gene-b4712	U00096.3	3648063	3648144	+	82	26	256	260	169	64	23	12	156	99	9	296	13	110	389	113
gene-b4713	U00096.3	3648294	3648375	+	82	6	101	90	203	52	17	5	89	84	1	100	6	85	165	46
gene-b3501	U00096.3	3648528	3648881	+	354	7	106	131	279	21	12	7	83	39	2	146	8	35	175	51
gene-b3502	U00096.3	3648935	3650224	+	1290	16	291	349	1322	59	39	15	210	74	3	405	26	82	429	177
gene-b3503	U00096.3	3650237	3650662	+	426	18	328	339	569	47	30	13	227	59	6	420	22	62	481	153
gene-b3505	U00096.3	3652182	3653162	-	981	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
gene-b3506	U00096.3	3653961	3654527	+	567	35	503	281	444	117	40	38	223	93	17	348	44	133	552	101
gene-b3507	U00096.3	3654683	3655213	+	531	3	86	29	333	16	14	2	26	12	0	26	0	16	56	4
gene-b3508	U00096.3	3655255	3655902	-	648	3	31	23	521	5	5	1	13	3	1	14	3	14	27	1
gene-b3509	U00096.3	3655966	3656292	-	327	2	35	18	215	8	6	0	18	19	1	26	2	12	44	8
gene-b3510	U00096.3	3656408	3656740	-	333	7	126	91	166	16	25	3	74	22	1	132	6	18	153	54
gene-b3511	U00096.3	3656995	3657567	+	573	22	316	210	629	61	38	10	183	69	7	212	20	69	394	87
gene-b4704	U00096.3	3657985	3658054	-	70	4	179	20	133	38	7	1	26	4	0	56	3	20	87	7
gene-b3512	U00096.3	3658366	3658893	+	528	10	341	65	300	45	13	6	70	17	0	120	17	28	223	37
gene-b4718	U00096.3	3658992	3659082	+	91	3	81	23	350	10	8	3	23	4	0	27	6	10	54	8
gene-b3513	U00096.3	3659232	3660389	+	1158	27	519	355	998	73	27	13	269	68	11	365	37	96	636	134
gene-b3514	U00096.3	3660414	3663527	+	3114	79	1363	1150	3617	288	141	61	801	281	18	1241	125	413	1840	462
gene-b3515	U00096.3	3663890	3664618	-	729	15	250	101	535	54	28	6	168	56	5	155	18	53	319	53
gene-b4452	U00096.3	3664864	3664969	+	106	10	117	48	140	17	16	12	77	19	1	57	10	32	121	39
gene-b3516	U00096.3	3664986	3665810	-	825	47	1114	459	490	151	104	27	677	151	16	512	48	181	1368	259
gene-b3517	U00096.3	3666180	3667580	-	1401	18	403	392	765	53	39	19	254	58	3	341	18	74	580	137
gene-b3518	U00096.3	3667791	3669188	-	1398	74	979	667	1608	183	134	36	656	221	13	1121	74	218	1290	378
gene-b3519	U00096.3	3669592	3671241	+	1650	32	365	392	1490	75	45	26	302	84	15	439	35	87	548	164
gene-b3520	U00096.3	3671292	3671894	-	603	31	339	267	764	96	52	12	226	96	8	288	22	118	376	131
gene-b3521	U00096.3	3672414	3673313	+	900	22	560	800	771	59	43	25	434	88	14	633	22	84	881	306
gene-b3522	U00096.3	3673362	3674375	+	1014	28	590	820	1106	93	54	32	471	92	19	744	36	81	986	357
gene-b3523	U00096.3	3674786	3676108	+	1323	45	691	921	1618	102	59	36	472	129	22	762	54	125	1179	354
gene-b3524	U00096.3	3676290	3678350	-	2061	32	502	482	3090	88	43	21	320	81	11	547	37	75	789	226
gene-b3525	U00096.3	3678420	3679187	-	768	7	86	101	733	22	9	3	66	18	2	100	4	16	145	40
gene-b3526	U00096.3	3679419	3680348	+	930	136	1849	2040	1040	315	171	103	1156	377	37	2574	147	416	2407	904
gene-b3527	U00096.3	3680444	3681940	-	1497	269	3413	2918	2015	719	311	191	2173	789	86	3913	321	1025	5123	1261
gene-b3528	U00096.3	3682161	3683447	-	1287	67	989	1335	1600	188	106	53	700	297	28	1153	76	274	1461	475
gene-b3529	U00096.3	3683630	3685618	-	1989	149	2154	2131	2166	396	233	130	1584	455	77	2915	209	546	2848	1078
gene-b3530	U00096.3	3685700	3689173	-	3474	353	5837	4916	3905	938	453	296	3265	1161	109	4977	482	1265	5830	2112
gene-b3531	U00096.3	3689155	3690261	-	1107	97	1597	1465	1496	265	147	88	1118	364	29	2002	133	376	2343	682
gene-b3532	U00096.3	3690268	3692607	-	2340	240	5144	3166	2895	628	366	261	3103	895	92	5664	328	928	6117	1979
gene-b3533	U00096.3	3692618	3695236	-	2619	163	2655	3102	2934	378	247	113	2011	569	60	2980	203	560	3518	1373
gene-b3535	U00096.3	3695997	3696185	-	189	35	319	322	97	61	25	12	238	72	11	513	14	60	538	119
gene-b3536	U00096.3	3696458	3698029	+	1572	250	5418	5393	2014	702	368	269	3405	579	90	6099	335	651	8839	2564
gene-b3537	U00096.3	3698026	3698217	+	192	37	592	620	224	90	43	40	405	68	18	920	54	82	995	313
gene-b3538	U00096.3	3698214	3699893	+	1680	143	2415	2970	1802	389	187	214	1902	435	61	3556	237	439	3920	1313
gene-b4453	U00096.3	3699980	3700087	-	108	150	940	878	474	336	186	114	549	366	53	1009	145	425	1136	357
gene-b4454	U00096.3	3700136	3700199	+	64	38	219	289	250	115	62	50	229	167	8	323	84	260	411	158
gene-b3539	U00096.3	3700563	3701834	+	1272	199	1595	1099	1870	490	270	102	1393	917	24	1340	134	848	2133	659
gene-b3540	U00096.3	3701864	3702868	-	1005	229	1978	2543	2110	494	311	135	1530	940	54	2445	137	809	3045	1122
gene-b3541	U00096.3	3702865	3703848	-	984	86	863	1677	1447	150	112	74	785	377	34	1496	70	351	1532	739
gene-b3542	U00096.3	3703859	3704761	-	903	62	617	1411	1515	136	85	68	590	295	30	1148	66	263	1121	576
gene-b3543	U00096.3	3704771	3705790	-	1020	40	469	973	1218	96	58	39	382	156	18	874	52	150	936	418
gene-b3544	U00096.3	3706098	3707705	-	1608	325	3621	5862	2369	717	466	346	2923	1107	109	5098	301	854	6331	2353
gene-b3545	U00096.3	3708616	3708692	-	77	77	464	456	235	155	74	43	374	187	14	663	66	270	545	246
gene-b3546	U00096.3	3708784	3710475	-	1692	858	9578	6710	3435	2249	982	558	6732	3083	232	10329	838	3275	12266	3709
gene-b3547	U00096.3	3710799	3712007	-	1209	66	319	260	1111	111	87	62	200	103	29	324	58	92	509	126
gene-b3548	U00096.3	3712236	3712934	-	699	20	540	525	468	75	29	17	369	56	10	749	25	87	834	229
gene-b3549	U00096.3	3713092	3713655	+	564	52	1425	1038	1129	188	125	49	897	208	38	1129	93	233	1838	453
gene-b3550	U00096.3	3713652	3714092	+	441	46	1007	752	646	168	82	54	682	166	29	846	49	173	1380	389
gene-b3551	U00096.3	3714061	3716394	-	2334	183	2695	3319	2739	542	292	182	2449	691	86	3704	231	680	4028	1535
gene-b3552	U00096.3	3716547	3717206	+	660	1062	4512	7270	2342	2179	2264	480	4098	3558	227	7618	598	2539	7095	3682
gene-b3553	U00096.3	3717310	3718284	+	975	472	11909	10570	1777	1475	896	489	8571	1630	224	13342	851	1517	15447	6234
gene-b3554	U00096.3	3718334	3719044	-	711	764	15870	12779	2377	2016	1082	645	10187	2344	331	17858	1050	2626	19941	6647
gene-b3555	U00096.3	3719478	3719768	+	291	20	465	335	306	65	32	22	272	63	6	436	27	88	651	150
gene-b3556	U00096.3	3720049	3720261	+	213	125494	712884	229089	261609	364461	153957	24859	479896	502336	11434	196447	39063	310203	777100	169347
gene-b4793	U00096.3	3720400	3720471	+	72	43	299	80	283	151	43	12	174	240	5	62	22	222	349	76
gene-b4455	U00096.3	3720448	3720600	-	153	44	309	58	324	136	39	9	209	238	5	80	20	262	372	88
gene-b3557	U00096.3	3720680	3721201	+	522	164	1722	1246	2171	496	176	87	1147	835	32	1642	106	956	2216	555
gene-b3558	U00096.3	3721198	3722049	+	852	197	3528	2095	2250	633	258	114	2504	1009	50	2742	180	1035	5022	1199
gene-b3559	U00096.3	3722328	3724397	-	2070	5262	46693	47523	14173	12410	8501	3112	34751	26285	1561	56328	4325	22089	52425	26767
gene-b3560	U00096.3	3724407	3725318	-	912	1927	19061	20436	5793	4252	2649	1209	13405	8701	608	25598	1798	7536	23584	9625
gene-b4553	U00096.3	3725413	3725712	-	300	4	76	52	332	8	7	6	41	12	1	39	2	16	109	16
gene-b3561	U00096.3	3725887	3726882	+	996	28	682	456	857	83	45	21	480	110	12	503	29	101	981	208
gene-b3562	U00096.3	3726924	3727361	-	438	5	131	41	355	28	10	6	80	34	1	38	4	28	149	30
gene-b3563	U00096.3	3727407	3727748	-	342	1	29	18	336	11	5	2	27	9	0	10	1	9	41	4
gene-b3564	U00096.3	3727917	3729371	-	1455	16	208	235	1840	49	25	17	120	36	7	261	16	58	289	87
gene-b4834	U00096.3	3729386	3729545	-	160	5	97	88	98	16	7	3	47	19	2	112	5	20	120	51
gene-b3565	U00096.3	3729443	3730765	-	1323	10	266	280	1352	54	33	14	158	58	9	346	27	59	391	112
gene-b3566	U00096.3	3731131	3732123	+	993	12	79	45	914	22	22	3	55	23	3	74	11	37	87	25
gene-b3567	U00096.3	3732201	3733742	+	1542	15	203	207	1195	40	30	3	136	46	2	202	16	59	263	45
gene-b3568	U00096.3	3733720	3734901	+	1182	19	341	327	1230	81	21	7	237	57	13	320	29	67	476	126
gene-b3569	U00096.3	3734979	3736157	+	1179	109	1770	1149	1101	280	156	45	1273	350	25	1207	92	375	2140	651
gene-b3570	U00096.3	3736353	3737177	-	825	678	15151	10149	2600	1735	794	488	10667	2889	183	8538	733	3322	17970	4263
gene-b4794	U00096.3	3737177	3737203	-	27	7	121	153	58	17	13	3	190	47	1	133	5	52	326	88
gene-b3571	U00096.3	3737497	3739527	+	2031	179	3214	2728	2355	495	300	159	2365	628	117	3824	255	580	3775	1640
gene-b3572	U00096.3	3739705	3740958	+	1254	480	5964	6014	2462	1118	579	408	4671	1654	163	6546	540	1659	8374	2904
gene-b3573	U00096.3	3741109	3741582	-	474	130	1904	2205	912	335	235	79	1184	364	34	2575	118	374	2753	1189
gene-b3574	U00096.3	3741684	3742532	-	849	98	1465	1735	1304	296	171	70	1122	347	47	2159	134	364	2018	865
gene-b3575	U00096.3	3742733	3743731	+	999	12	112	117	940	15	11	4	74	29	2	122	9	26	183	47
gene-b3576	U00096.3	3743743	3744210	+	468	1	15	17	244	1	2	0	14	2	0	19	6	6	35	4
gene-b3577	U00096.3	3744328	3744801	+	474	2	10	9	244	6	2	3	4	6	0	9	0	5	20	3
gene-b3578	U00096.3	3744804	3746081	+	1278	5	53	57	1064	18	1	5	34	19	0	53	8	36	74	17
gene-b3579	U00096.3	3746094	3747080	+	987	3	24	37	1126	9	2	3	15	4	0	32	5	15	37	12
gene-b3580	U00096.3	3747084	3748580	+	1497	12	127	131	2500	32	10	6	64	27	4	137	13	31	134	49
gene-b3581	U00096.3	3748577	3749239	+	663	13	73	68	765	22	14	6	39	25	4	95	8	29	120	28
gene-b3582	U00096.3	3749232	3750092	+	861	5	82	78	479	12	10	2	41	26	0	98	6	29	111	36
gene-b3583	U00096.3	3750086	3750781	+	696	19	175	190	580	31	22	7	136	41	1	223	16	71	269	100
gene-b3584	U00096.3	3751128	3751868	-	741	8	53	36	598	31	6	1	23	28	5	52	9	31	62	16
gene-b3585	U00096.3	3751992	3752966	+	975	50	611	490	744	106	87	31	445	187	15	440	51	102	760	266
gene-b3586	U00096.3	3752963	3754099	-	1137	14	230	207	1324	52	26	13	169	70	2	189	19	54	306	112
gene-b3587	U00096.3	3754105	3754428	-	324	0	20	15	270	7	1	0	25	10	1	14	2	5	22	7
gene-b3588	U00096.3	3754973	3756511	-	1539	24	103	102	1613	58	29	9	66	67	3	121	18	74	141	48
gene-b3589	U00096.3	3756676	3757827	-	1152	49	413	272	962	129	106	36	320	216	21	430	57	200	451	160
gene-b3590	U00096.3	3758017	3759861	-	1845	947	16569	13979	4680	2813	1563	1066	10609	4493	431	18678	1791	4557	20592	7000
gene-b3591	U00096.3	3759858	3761249	-	1392	617	14916	14254	2927	1773	983	773	8249	1717	300	18533	1300	1977	19221	5939
gene-b3592	U00096.3	3761347	3761955	-	609	35	702	841	772	93	70	28	563	129	17	823	52	124	1039	343
gene-b3593	U00096.3	3762183	3766316	+	4134	109	1170	779	5602	266	123	71	645	370	30	975	121	485	1186	333
gene-b3594	U00096.3	3766337	3767179	+	843	19	127	128	413	41	32	8	114	75	2	140	11	58	237	62
gene-b3596	U00096.3	3768177	3768638	+	462	1	32	20	256	8	4	0	31	12	1	19	4	22	49	5
gene-b4615	U00096.3	3769345	3769680	+	336	4	34	12	264	6	6	3	15	4	0	11	2	7	40	3
gene-b3597	U00096.3	3770243	3771379	-	1137	8	116	153	838	29	15	5	94	28	2	168	14	45	211	50
gene-b3598	U00096.3	3771382	3771744	-	363	3	50	110	346	10	6	1	29	7	1	121	7	15	96	26
gene-b3599	U00096.3	3772281	3774194	+	1914	190	2225	3038	2144	450	244	176	1595	555	61	3508	190	591	4010	1221
gene-b3600	U00096.3	3774424	3775572	+	1149	210	4003	3325	1680	578	289	182	2323	632	88	4800	285	801	5479	1513
gene-b3601	U00096.3	3775572	3776159	+	588	119	2174	1936	760	298	144	89	1202	276	43	2803	156	400	2982	813
gene-b4554	U00096.3	3776171	3776380	-	210	54	790	870	250	145	61	29	437	84	16	1180	43	140	1212	364
gene-b3602	U00096.3	3776665	3777027	+	363	211	1845	1868	606	544	205	88	1310	638	63	2333	138	585	2624	879
gene-b3603	U00096.3	3777399	3779054	+	1656	18	315	442	2023	81	40	37	244	133	13	383	54	121	470	145
gene-b3604	U00096.3	3779054	3779830	+	777	14	179	357	829	41	12	14	126	37	5	222	23	56	309	113
gene-b3605	U00096.3	3779827	3781017	+	1191	67	974	2103	1927	132	106	54	528	155	18	1285	79	174	1723	656
gene-b3606	U00096.3	3781215	3781688	+	474	149	1646	1136	931	351	167	96	1044	509	44	1375	167	557	1984	580
gene-b3607	U00096.3	3781741	3782562	-	822	379	5305	3606	1976	1064	496	274	3255	1402	133	4361	456	1545	6030	1880
gene-b3608	U00096.3	3782642	3783661	-	1020	1226	13426	11050	4030	3408	1891	771	8769	4772	393	13917	1217	4885	15939	5678
gene-b3609	U00096.3	3783661	3784128	-	468	1676	16806	14269	3598	4312	2674	899	10702	5646	478	20585	1380	5355	20625	7782
gene-b3610	U00096.3	3784191	3784442	-	252	492	7283	6755	1272	1334	781	365	5105	1799	179	9630	523	1845	9416	3597
gene-b3611	U00096.3	3784584	3785015	-	432	472	7811	7577	1491	1490	823	444	5850	2435	222	9843	653	2342	9744	3664
gene-b3612	U00096.3	3785260	3786804	+	1545	10550	173973	78446	22915	28484	17577	6604	83893	32917	2424	145748	13262	42437	202725	48042
gene-b3613	U00096.3	3786838	3788097	+	1260	832	14216	7243	2819	2307	1191	519	7995	2649	206	10857	989	3157	16032	4130
gene-b3614	U00096.3	3788101	3789060	+	960	292	3877	5036	1680	706	515	240	4488	1128	153	4038	358	803	5476	3114
gene-b3615	U00096.3	3789047	3790081	-	1035	578	6643	13094	2115	1398	1270	466	9785	2587	384	9798	570	1352	11486	7987
gene-b3616	U00096.3	3790320	3791345	-	1026	1687	19690	22330	4936	4333	3255	1090	14127	7553	577	23441	1609	6415	28420	11122
gene-b3617	U00096.3	3791355	3792551	-	1197	2105	26436	27373	6273	5441	4013	1408	18222	8181	657	30827	2192	6941	37258	14336
gene-b3618	U00096.3	3792826	3793683	-	858	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0
gene-b3619	U00096.3	3793987	3794919	+	933	768	13738	13011	2239	2252	1271	680	8671	2687	312	16642	1035	2629	19398	5897
gene-b3620	U00096.3	3794929	3795975	+	1047	672	10686	10341	2679	1742	1002	605	7090	2340	265	12452	905	2434	14174	4926
gene-b3621	U00096.3	3795979	3796938	+	960	228	3387	3740	1562	678	324	194	2648	833	114	3537	362	929	4905	1623
gene-b3622	U00096.3	3796948	3798207	+	1260	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0
gene-b4795	U00096.3	3797772	3798014	-	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b4796	U00096.3	3798039	3798149	-	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3623	U00096.3	3798239	3799312	-	1074	0	2	0	0	0	0	0	0	1	0	1	1	1	0	0
gene-b3624	U00096.3	3799345	3800196	-	852	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0
gene-b3625	U00096.3	3800267	3800965	-	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3626	U00096.3	3800983	3801999	-	1017	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0
gene-b3627	U00096.3	3802039	3803058	-	1020	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1
gene-b3628	U00096.3	3803058	3804137	-	1080	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
gene-b3629	U00096.3	3804181	3805116	-	936	2	7	0	1	2	0	0	3	1	0	8	1	2	2	2
gene-b3630	U00096.3	3805153	3805950	-	798	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
gene-b3631	U00096.3	3805943	3807067	-	1125	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0
gene-b3632	U00096.3	3807064	3808098	-	1035	0	1	1	0	0	0	0	0	0	0	1	0	1	2	0
gene-b4760	U00096.3	3808166	3808238	-	73	0	1	1	0	2	1	0	0	1	0	1	0	1	1	2
gene-b3633	U00096.3	3808540	3809817	+	1278	245	3969	3031	1510	651	318	198	3006	906	95	3498	299	866	4988	1628
gene-b3634	U00096.3	3809825	3810304	+	480	123	1373	1539	1044	316	174	88	1147	411	48	2122	119	427	1698	830
